ticket_id,machine,department,dominant_signal_score,maintenance_team,issue,priority,risk_score,dominant_signal,vibration_zscore,pressure_zscore,rotate_zscore,root_cause,solution,status
170,model1_22,comp4,3,Automation,Critical automation system instability detected,Critical,4.34,vibration,2.5,1.15,0.8,PLC communication instability,Verify shaft balancing and alignment,Open
171,model1_22,comp2,1,Hydraulic,Slight hydraulic instability detected,Low,0.87,vibration,0.45,0.26,0.23,Hydraulic flow instability,Verify shaft balancing and alignment,Open
172,model1_22,comp4,2,Automation,PLC communication instability observed,Medium,1.91,rotation,0.3,0.45,1.35,PLC communication instability,Check rotational synchronization,Open
173,model1_22,comp3,2,Thermal,Moderate thermal instability observed,Medium,1.67,rotation,0.05,0.2,1.5,Thermal overload,Inspect rotational control subsystem,Open
174,model1_22,comp2,3,Hydraulic,High hydraulic instability detected,High,3.29,vibration,2.58,0.51,0.75,Hydraulic valve degradation,Inspect spindle bearing and lubrication system,Open
175,model1_22,comp3,1,Thermal,Minor thermal deviation detected on motor unit,Low,0.88,vibration,0.26,0.76,0.94,Cooling system degradation,Verify shaft balancing and alignment,Open
176,model1_22,comp4,2,Automation,PLC communication instability observed,Medium,1.68,rotation,0.53,0.74,1.1,Control signal degradation,Verify rotational sensor consistency,Open
177,model1_23,comp2,2,Hydraulic,Unstable hydraulic behavior identified during operation,Medium,2.18,vibration,1.5,0.2,0.02,Hydraulic valve degradation,Inspect spindle bearing and lubrication system,Open
178,model1_23,comp4,5,Automation,Severe PLC communication failure observed on aging equipment,Critical,5.97,pressure,1.44,3.25,0.37,Control signal degradation,Inspect hydraulic pressure lines,Open
179,model1_23,comp4,2,Automation,PLC communication instability observed,Medium,2.43,pressure,0.07,1.77,0.61,PLC communication instability,Check valve stability,Open
180,model1_23,comp1,2,Mechanical,Mechanical instability observed during operation,Medium,2.45,vibration,1.29,0.29,0.65,Mechanical imbalance,Inspect spindle bearing and lubrication system,Open
181,model1_23,comp3,3,Thermal,Severe thermal operational anomaly observed on aging equipment,Critical,4.87,vibration,2.24,0.32,1.3,Cooling system degradation,Verify shaft balancing and alignment,Open
182,model1_23,comp2,2,Hydraulic,Severe hydraulic fluctuation identified on aging equipment,High,3.29,pressure,0.14,1.42,1.42,Hydraulic valve degradation,Verify hydraulic pump condition,Open
183,model1_23,comp3,2,Thermal,Moderate thermal instability observed,Medium,2.45,rotation,0.88,0.11,1.79,Cooling system degradation,Check rotational synchronization,Open
184,model1_23,comp2,1,Hydraulic,Hydraulic pressure anomaly detected,Medium,1.27,vibration,0.24,0.77,0.98,Pressure leakage,Check rotational stability,Open
185,model1_23,comp3,2,Thermal,Moderate thermal instability observed,Medium,2.17,rotation,0.97,0.25,1.72,Cooling fan malfunction,Inspect rotational control subsystem,Open
186,model1_23,comp4,2,Automation,High-risk automation instability detected on aging equipment,High,3.2,vibration,1.39,1.59,0.5,PLC communication instability,Verify shaft balancing and alignment,Open
187,model1_23,comp3,2,Thermal,Moderate thermal instability observed,Medium,2.37,pressure,0.36,1.23,0.27,Thermal overload,Verify hydraulic pump condition,Open
188,model1_23,comp4,1,Automation,Automation system anomaly detected,Medium,1.19,vibration,0.98,0.35,0.43,PLC communication instability,Verify shaft balancing and alignment,Open
189,model1_24,comp1,2,Mechanical,Severe spindle instability detected on aging equipment,High,3.19,pressure,0.68,1.77,1.21,Bearing wear,Verify hydraulic pump condition,Open
190,model1_24,comp1,2,Mechanical,Severe spindle instability detected on aging equipment,High,3.26,vibration,1.34,1.01,0.21,Bearing wear,Verify shaft balancing and alignment,Open
191,model1_24,comp4,1,Automation,Automation system anomaly detected,Medium,1.27,vibration,0.2,0.8,0.04,PLC communication instability,Inspect spindle bearing and lubrication system,Open
192,model1_24,comp3,1,Thermal,Motor temperature anomaly detected,Medium,1.37,vibration,0.92,0.04,0.62,Thermal overload,Inspect spindle bearing and lubrication system,Open
193,model1_24,comp3,1,Thermal,Motor temperature anomaly detected,Medium,1.43,vibration,0.9,0.62,0.26,Cooling fan malfunction,Check rotational stability,Open
194,model1_24,comp4,3,Automation,Industrial control synchronization instability observed on aging equipment,High,3.67,pressure,0.06,2.25,0.35,Control signal degradation,Check valve stability,Open
195,model1_24,comp1,1,Mechanical,Mechanical instability observed during operation,Medium,1.23,vibration,0.18,0.02,0.41,Bearing wear,Inspect spindle bearing and lubrication system,Open
196,model1_24,comp3,2,Thermal,Motor temperature anomaly detected,Medium,2.18,pressure,0.53,1.41,0.15,Cooling system degradation,Inspect hydraulic pressure lines,Open
197,model1_24,comp4,1,Automation,PLC communication instability observed,Medium,1.21,vibration,0.09,0.49,0.17,Electrical synchronization issue,Verify shaft balancing and alignment,Open
198,model1_24,comp3,1,Thermal,Moderate thermal instability observed,Medium,1.37,vibration,0.75,0.53,0.39,Cooling system degradation,Inspect spindle bearing and lubrication system,Open
199,model4_25,comp1,1,Mechanical,Spindle oscillation exceeded operational baseline,Medium,1.44,vibration,0.1,0.02,0.66,Lubrication degradation,Inspect spindle bearing and lubrication system,Open
200,model4_25,comp4,1,Automation,PLC communication instability observed,Medium,1.39,vibration,0.71,0.2,0.9,Control signal degradation,Check rotational stability,Open
201,model4_25,comp1,1,Mechanical,Spindle oscillation exceeded operational baseline,Medium,1.35,vibration,0.12,0.94,0.67,Mechanical imbalance,Verify shaft balancing and alignment,Open
202,model4_25,comp2,3,Hydraulic,Emergency hydraulic instability identified on aging equipment,Critical,4.7,rotation,1.25,0.65,2.48,Pressure leakage,Inspect rotational control subsystem,Open
203,model4_25,comp2,2,Hydraulic,Moderate hydraulic instability observed,Medium,2.4,pressure,0.0,1.05,0.41,Hydraulic flow instability,Check valve stability,Open
204,model4_25,comp4,2,Automation,Critical PLC instability trend identified on aging equipment,High,3.43,pressure,0.38,1.36,1.38,PLC communication instability,Check valve stability,Open
205,model4_25,comp2,3,Hydraulic,Severe hydraulic fluctuation identified on aging equipment,High,3.82,vibration,2.03,0.05,0.45,Hydraulic flow instability,Verify shaft balancing and alignment,Open
206,model4_25,comp4,1,Automation,PLC communication instability observed,Medium,1.36,vibration,0.24,0.88,0.62,Control signal degradation,Inspect spindle bearing and lubrication system,Open
207,model3_26,comp1,2,Mechanical,Mechanical instability observed during operation,Medium,1.67,rotation,0.04,0.68,1.96,Bearing wear,Inspect rotational control subsystem,Open
208,model3_26,comp2,1,Hydraulic,Slight hydraulic instability detected,Low,0.69,vibration,0.3,0.35,0.09,Hydraulic flow instability,Check rotational stability,Open
209,model3_26,comp1,1,Mechanical,Low-level spindle oscillation identified,Low,0.95,vibration,0.66,0.78,0.56,Bearing wear,Verify shaft balancing and alignment,Open
210,model3_26,comp2,2,Hydraulic,Moderate hydraulic instability observed,Medium,1.77,pressure,0.3,1.81,0.87,Hydraulic flow instability,Inspect hydraulic pressure lines,Open
211,model3_26,comp1,1,Mechanical,Minor spindle vibration deviation observed,Low,0.65,vibration,0.67,0.16,0.34,Lubrication degradation,Verify shaft balancing and alignment,Open
212,model3_26,comp2,3,Hydraulic,High hydraulic instability detected,High,3.26,pressure,0.04,2.0,0.29,Hydraulic flow instability,Verify hydraulic pump condition,Open
213,model3_27,comp2,2,Hydraulic,Hydraulic pressure anomaly detected,Medium,1.75,rotation,0.36,0.75,1.13,Hydraulic valve degradation,Check rotational synchronization,Open
214,model3_27,comp1,3,Mechanical,High-risk spindle oscillation beyond normal range,Critical,4.05,pressure,0.85,2.49,1.38,Bearing wear,Verify hydraulic pump condition,Open
215,model3_27,comp2,2,Hydraulic,Hydraulic pressure anomaly detected,Medium,1.88,pressure,0.75,1.11,0.09,Hydraulic valve degradation,Check valve stability,Open
216,model4_28,comp2,1,Hydraulic,Minor hydraulic pressure fluctuation observed,Low,0.86,vibration,0.89,0.54,0.7,Hydraulic valve degradation,Verify shaft balancing and alignment,Open
217,model4_28,comp1,3,Mechanical,Critical spindle vibration anomaly detected,Critical,4.18,vibration,2.0,0.59,1.64,Bearing wear,Verify shaft balancing and alignment,Open
218,model4_28,comp2,1,Hydraulic,Minor hydraulic pressure fluctuation observed,Low,0.73,vibration,0.18,0.46,0.43,Hydraulic flow instability,Inspect spindle bearing and lubrication system,Open
219,model4_28,comp1,3,Mechanical,Severe spindle instability detected,High,3.3,pressure,0.74,2.05,0.45,Lubrication degradation,Verify hydraulic pump condition,Open
220,model4_28,comp1,2,Mechanical,Moderate spindle vibration anomaly detected,Medium,1.82,rotation,0.01,0.28,1.45,Mechanical imbalance,Inspect rotational control subsystem,Open
221,model4_29,comp1,1,Mechanical,Slight rotational instability detected,Low,0.87,vibration,0.57,0.13,0.45,Bearing wear,Verify shaft balancing and alignment,Open
222,model4_29,comp2,1,Hydraulic,Slight hydraulic instability detected,Low,0.77,vibration,0.04,0.31,0.53,Hydraulic valve degradation,Inspect spindle bearing and lubrication system,Open
223,model3_30,comp4,3,Automation,Critical automation system instability detected on aging equipment,Critical,4.86,rotation,1.13,0.33,2.13,PLC communication instability,Check rotational synchronization,Open
224,model3_30,comp4,1,Automation,Automation system anomaly detected,Medium,1.18,vibration,0.74,0.68,0.81,PLC communication instability,Inspect spindle bearing and lubrication system,Open
225,model3_30,comp2,1,Hydraulic,Hydraulic pressure anomaly detected,Medium,1.43,vibration,0.51,0.18,0.78,Hydraulic flow instability,Check rotational stability,Open
226,model3_30,comp4,1,Automation,Automation system anomaly detected,Medium,1.29,vibration,0.86,0.44,0.94,PLC communication instability,Verify shaft balancing and alignment,Open
227,model3_30,comp4,3,Automation,Critical PLC instability trend identified on aging equipment,High,3.68,rotation,0.69,0.29,2.13,PLC communication instability,Inspect rotational control subsystem,Open
228,model1_31,comp3,1,Thermal,Minor thermal deviation detected on motor unit,Low,0.89,vibration,0.73,0.71,0.41,Cooling system degradation,Verify shaft balancing and alignment,Open
229,model1_31,comp1,2,Mechanical,Mechanical instability observed during operation,Medium,1.92,rotation,0.92,0.53,1.31,Mechanical imbalance,Check rotational synchronization,Open
230,model1_31,comp3,4,Thermal,Elevated thermal instability detected,High,3.85,pressure,0.78,2.88,0.58,Cooling system degradation,Verify hydraulic pump condition,Open
231,model1_31,comp3,1,Thermal,Minor thermal deviation detected on motor unit,Low,0.9,vibration,0.33,0.83,0.14,Cooling system degradation,Verify shaft balancing and alignment,Open
232,model1_31,comp2,2,Hydraulic,Moderate hydraulic instability observed,Medium,1.82,vibration,1.01,0.41,0.33,Pressure leakage,Inspect spindle bearing and lubrication system,Open
233,model1_31,comp1,1,Mechanical,Low-level spindle oscillation identified,Low,0.7,vibration,0.06,0.87,0.41,Bearing wear,Check rotational stability,Open
234,model1_31,comp3,2,Thermal,Motor temperature anomaly detected,Medium,1.81,rotation,0.08,0.82,1.82,Cooling system degradation,Inspect rotational control subsystem,Open
235,model4_32,comp1,3,Mechanical,Severe spindle instability detected,High,3.11,rotation,0.02,0.22,2.24,Bearing wear,Inspect rotational control subsystem,Open
236,model4_32,comp4,3,Automation,High-risk automation instability detected,High,3.14,pressure,0.44,2.37,0.18,PLC communication instability,Check valve stability,Open
237,model4_32,comp1,3,Mechanical,Strong rotational imbalance observed,High,3.07,vibration,2.06,0.85,0.12,Mechanical imbalance,Inspect spindle bearing and lubrication system,Open
238,model4_32,comp4,1,Automation,Minor automation instability detected,Low,0.7,vibration,0.96,0.82,0.99,Control signal degradation,Verify shaft balancing and alignment,Open
239,model4_32,comp2,2,Hydraulic,Moderate hydraulic instability observed,Medium,1.87,rotation,0.68,0.91,1.19,Hydraulic flow instability,Inspect rotational control subsystem,Open
240,model4_32,comp2,1,Hydraulic,Slight hydraulic instability detected,Low,0.82,vibration,0.85,0.33,0.77,Hydraulic valve degradation,Verify shaft balancing and alignment,Open
241,model4_32,comp4,2,Automation,Critical PLC instability trend identified,High,2.82,vibration,1.15,1.5,0.39,Electrical synchronization issue,Check rotational stability,Open
242,model4_32,comp1,2,Mechanical,Mechanical instability observed during operation,Medium,1.76,vibration,1.87,0.65,0.86,Bearing wear,Verify shaft balancing and alignment,Open
243,model4_32,comp4,1,Automation,Minor automation instability detected,Low,0.69,vibration,0.93,0.13,0.91,PLC communication instability,Verify shaft balancing and alignment,Open
244,model4_32,comp1,4,Mechanical,Severe mechanical instability observed,Critical,4.72,vibration,2.96,1.0,0.78,Bearing wear,Inspect spindle bearing and lubrication system,Open
245,model3_33,comp1,1,Mechanical,Low-level spindle oscillation identified,Low,0.74,vibration,0.85,0.49,0.21,Mechanical imbalance,Inspect spindle bearing and lubrication system,Open
246,model3_33,comp4,3,Automation,Severe PLC communication failure observed,Critical,5.91,vibration,2.2,1.32,1.04,PLC communication instability,Verify shaft balancing and alignment,Open
247,model3_33,comp4,2,Automation,Automation system anomaly detected,Medium,1.79,vibration,1.61,0.17,0.16,Control signal degradation,Inspect spindle bearing and lubrication system,Open
248,model3_33,comp2,2,Hydraulic,Hydraulic pressure fluctuation exceeded operational tolerance,Medium,1.92,pressure,0.16,1.93,0.34,Hydraulic valve degradation,Inspect hydraulic pressure lines,Open
249,model3_33,comp2,1,Hydraulic,Minor hydraulic pressure fluctuation observed,Low,0.81,vibration,0.26,0.4,0.86,Hydraulic flow instability,Check rotational stability,Open
250,model3_33,comp4,2,Automation,High-risk automation instability detected,High,2.93,vibration,1.19,1.95,0.43,Electrical synchronization issue,Verify shaft balancing and alignment,Open
251,model3_33,comp4,1,Automation,Minor automation instability detected,Low,0.76,vibration,0.08,0.44,0.64,Control signal degradation,Verify shaft balancing and alignment,Open
252,model3_33,comp2,1,Hydraulic,Slight hydraulic instability detected,Low,0.78,vibration,0.37,0.55,0.39,Hydraulic flow instability,Verify shaft balancing and alignment,Open
253,model3_33,comp1,1,Mechanical,Slight rotational instability detected,Low,0.88,vibration,0.61,0.29,0.26,Mechanical imbalance,Inspect spindle bearing and lubrication system,Open
254,model4_34,comp1,1,Mechanical,Slight rotational instability detected,Low,0.67,vibration,0.91,0.41,0.84,Mechanical imbalance,Inspect spindle bearing and lubrication system,Open
255,model4_34,comp2,1,Hydraulic,Slight hydraulic instability detected,Low,0.78,vibration,0.23,0.1,0.03,Hydraulic flow instability,Check rotational stability,Open
256,model4_34,comp1,2,Mechanical,Moderate spindle vibration anomaly detected,Medium,1.95,rotation,0.6,0.4,1.77,Mechanical imbalance,Verify rotational sensor consistency,Open
257,model1_35,comp1,2,Mechanical,Mechanical instability observed during operation,Medium,2.44,pressure,0.89,1.01,0.15,Mechanical imbalance,Inspect hydraulic pressure lines,Open
258,model1_35,comp4,5,Automation,Emergency automation system instability identified on aging equipment,Critical,5.88,rotation,1.68,0.64,3.05,Control signal degradation,Check rotational synchronization,Open
259,model1_35,comp3,1,Thermal,Moderate thermal instability observed,Medium,1.35,vibration,0.52,0.04,0.28,Cooling fan malfunction,Verify shaft balancing and alignment,Open
260,model1_35,comp4,2,Automation,Industrial control synchronization instability observed on aging equipment,High,3.34,pressure,0.68,1.26,1.67,PLC communication instability,Verify hydraulic pump condition,Open
261,model1_35,comp3,1,Thermal,Motor temperature anomaly detected,Medium,1.38,vibration,0.74,0.95,0.57,Cooling fan malfunction,Verify shaft balancing and alignment,Open
262,model1_35,comp4,2,Automation,Automation system anomaly detected,Medium,2.26,rotation,0.71,0.1,1.17,Electrical synchronization issue,Check rotational synchronization,Open
263,model1_35,comp1,2,Mechanical,Moderate spindle vibration anomaly detected,Medium,2.15,rotation,0.24,0.63,1.15,Mechanical imbalance,Verify rotational sensor consistency,Open
264,model1_35,comp2,2,Hydraulic,Severe hydraulic fluctuation identified on aging equipment,High,3.36,vibration,1.33,0.86,1.53,Hydraulic valve degradation,Verify shaft balancing and alignment,Open
265,model1_35,comp1,2,Mechanical,Moderate spindle vibration anomaly detected,Medium,2.23,rotation,0.35,0.36,1.74,Mechanical imbalance,Verify rotational sensor consistency,Open
266,model1_35,comp1,1,Mechanical,Spindle oscillation exceeded operational baseline,Medium,1.44,vibration,0.78,0.76,0.14,Lubrication degradation,Verify shaft balancing and alignment,Open
267,model1_35,comp4,1,Automation,PLC communication instability observed,Medium,1.38,vibration,0.11,0.59,0.26,PLC communication instability,Inspect spindle bearing and lubrication system,Open
268,model4_36,comp1,1,Mechanical,Slight rotational instability detected,Low,0.92,vibration,0.61,0.41,0.69,Bearing wear,Verify shaft balancing and alignment,Open
269,model4_36,comp1,2,Mechanical,Moderate spindle vibration anomaly detected,Medium,1.77,pressure,0.14,1.03,0.39,Lubrication degradation,Verify hydraulic pump condition,Open
270,model4_36,comp2,1,Hydraulic,Minor hydraulic pressure fluctuation observed,Low,0.72,vibration,0.51,0.75,0.09,Hydraulic flow instability,Verify shaft balancing and alignment,Open
271,model4_36,comp2,2,Hydraulic,Hydraulic pressure fluctuation exceeded operational tolerance,Medium,1.87,rotation,0.91,0.46,1.31,Hydraulic valve degradation,Check rotational synchronization,Open
272,model1_37,comp4,1,Automation,Automation system anomaly detected,Medium,1.24,vibration,0.82,0.57,0.07,PLC communication instability,Verify shaft balancing and alignment,Open
273,model1_37,comp3,2,Thermal,Elevated thermal instability detected on aging equipment,High,3.44,vibration,1.26,0.67,1.69,Cooling fan malfunction,Check rotational stability,Open
274,model1_37,comp4,5,Automation,Severe PLC communication failure observed on aging equipment,Critical,5.96,pressure,0.94,3.16,1.09,Control signal degradation,Verify hydraulic pump condition,Open
275,model1_37,comp3,1,Thermal,Moderate thermal instability observed,Medium,1.21,vibration,0.24,0.3,0.92,Cooling system degradation,Check rotational stability,Open
276,model1_37,comp4,1,Automation,PLC communication instability observed,Medium,1.26,vibration,0.39,0.27,0.56,Control signal degradation,Inspect spindle bearing and lubrication system,Open
277,model1_37,comp1,1,Mechanical,Spindle oscillation exceeded operational baseline,Medium,1.43,vibration,0.39,0.36,0.39,Mechanical imbalance,Verify shaft balancing and alignment,Open
278,model1_37,comp3,1,Thermal,Motor temperature anomaly detected,Medium,1.26,vibration,0.73,0.24,0.23,Thermal overload,Check rotational stability,Open
279,model1_37,comp4,2,Automation,PLC communication instability observed,Medium,2.33,pressure,0.15,1.34,0.36,Control signal degradation,Check valve stability,Open
280,model1_37,comp2,3,Hydraulic,Critical hydraulic pressure instability detected on aging equipment,Critical,5.72,vibration,2.19,0.8,2.26,Pressure leakage,Inspect spindle bearing and lubrication system,Open
281,model1_37,comp2,3,Hydraulic,Critical hydraulic pressure instability detected on aging equipment,Critical,4.61,vibration,2.55,1.5,0.08,Hydraulic flow instability,Verify shaft balancing and alignment,Open
282,model1_37,comp4,1,Automation,PLC communication instability observed,Medium,1.26,vibration,0.28,0.38,0.7,Control signal degradation,Verify shaft balancing and alignment,Open
283,model1_37,comp2,1,Hydraulic,Hydraulic pressure anomaly detected,Medium,1.27,vibration,0.51,0.57,0.29,Pressure leakage,Inspect spindle bearing and lubrication system,Open
284,model1_37,comp3,3,Thermal,High thermal stress identified on aging equipment,High,3.8,rotation,0.03,0.74,2.19,Thermal overload,Check rotational synchronization,Open
285,model1_37,comp4,1,Automation,Automation system anomaly detected,Medium,1.37,vibration,0.14,0.91,0.81,Electrical synchronization issue,Verify shaft balancing and alignment,Open
286,model4_38,comp4,2,Automation,Automation system anomaly detected,Medium,1.82,vibration,1.18,0.42,0.58,Control signal degradation,Verify shaft balancing and alignment,Open
287,model4_38,comp2,1,Hydraulic,Minor hydraulic pressure fluctuation observed,Low,0.81,vibration,0.74,0.52,0.35,Hydraulic flow instability,Inspect spindle bearing and lubrication system,Open
288,model4_38,comp4,2,Automation,High-risk automation instability detected,High,3.0,vibration,1.39,0.03,1.26,PLC communication instability,Verify shaft balancing and alignment,Open
289,model4_38,comp2,4,Hydraulic,Critical hydraulic pressure instability detected,Critical,6.29,vibration,2.6,1.05,1.9,Hydraulic valve degradation,Verify shaft balancing and alignment,Open
290,model4_38,comp4,2,Automation,PLC communication instability observed,Medium,1.92,vibration,1.12,0.86,0.93,PLC communication instability,Inspect spindle bearing and lubrication system,Open
291,model4_38,comp1,2,Mechanical,Moderate spindle vibration anomaly detected,Medium,1.71,vibration,1.02,0.2,0.15,Lubrication degradation,Check rotational stability,Open
292,model4_38,comp4,2,Automation,Automation system anomaly detected,Medium,1.68,rotation,0.38,0.42,1.44,Electrical synchronization issue,Inspect rotational control subsystem,Open
293,model4_39,comp2,2,Hydraulic,Critical hydraulic pressure instability detected,Critical,4.47,vibration,1.05,1.0,1.53,Hydraulic flow instability,Check rotational stability,Open
294,model4_39,comp1,5,Mechanical,Emergency-level spindle instability identified,Critical,5.53,pressure,1.34,3.02,0.04,Bearing wear,Check valve stability,Open
295,model4_39,comp2,2,Hydraulic,Hydraulic pressure fluctuation exceeded operational tolerance,Medium,1.83,vibration,1.68,0.08,0.82,Hydraulic valve degradation,Inspect spindle bearing and lubrication system,Open
296,model4_39,comp2,1,Hydraulic,Slight hydraulic instability detected,Low,0.69,vibration,0.38,0.24,0.81,Hydraulic flow instability,Check rotational stability,Open
297,model2_40,comp3,2,Thermal,Moderate thermal instability observed,Medium,1.94,vibration,1.2,0.15,0.64,Cooling fan malfunction,Verify shaft balancing and alignment,Open
298,model2_40,comp1,1,Mechanical,Minor spindle vibration deviation observed,Low,0.89,vibration,0.21,0.28,0.3,Mechanical imbalance,Inspect spindle bearing and lubrication system,Open
299,model2_40,comp1,1,Mechanical,Low-level spindle oscillation identified,Low,0.89,vibration,0.27,0.1,0.11,Bearing wear,Verify shaft balancing and alignment,Open
300,model2_40,comp3,2,Thermal,Motor temperature anomaly detected,Medium,1.94,rotation,0.19,0.58,1.06,Thermal overload,Check rotational synchronization,Open
301,model2_40,comp2,2,Hydraulic,Hydraulic pressure fluctuation exceeded operational tolerance,Medium,1.8,rotation,0.5,0.04,1.1,Hydraulic valve degradation,Inspect rotational control subsystem,Open
302,model2_40,comp1,2,Mechanical,Mechanical instability observed during operation,Medium,1.84,vibration,1.03,0.84,0.65,Mechanical imbalance,Check rotational stability,Open
303,model2_40,comp2,1,Hydraulic,Minor hydraulic pressure fluctuation observed,Low,0.82,vibration,0.79,0.15,0.37,Hydraulic flow instability,Inspect spindle bearing and lubrication system,Open
304,model2_40,comp1,3,Mechanical,High-risk spindle oscillation beyond normal range,Critical,4.07,rotation,0.65,1.19,2.29,Mechanical imbalance,Inspect rotational control subsystem,Open
305,model2_40,comp3,3,Thermal,High thermal stress identified,High,3.13,rotation,0.33,0.76,2.15,Cooling system degradation,Inspect rotational control subsystem,Open
306,model4_41,comp1,1,Mechanical,Low-level spindle oscillation identified,Low,0.92,vibration,0.37,0.58,0.55,Mechanical imbalance,Inspect spindle bearing and lubrication system,Open
307,model4_41,comp1,3,Mechanical,High spindle vibration level identified,High,3.05,pressure,0.76,2.15,0.36,Mechanical imbalance,Check valve stability,Open
308,model4_41,comp1,2,Mechanical,Mechanical instability observed during operation,Medium,1.65,vibration,1.02,0.8,0.25,Lubrication degradation,Inspect spindle bearing and lubrication system,Open
309,model1_42,comp1,1,Mechanical,Slight rotational instability detected,Low,0.74,vibration,0.34,0.97,0.01,Mechanical imbalance,Check rotational stability,Open
310,model1_42,comp3,3,Thermal,Severe thermal operational anomaly observed,Critical,4.37,vibration,2.13,0.43,1.73,Cooling system degradation,Inspect spindle bearing and lubrication system,Open
311,model1_42,comp1,1,Mechanical,Minor spindle vibration deviation observed,Low,0.75,vibration,0.66,0.14,0.29,Lubrication degradation,Inspect spindle bearing and lubrication system,Open
312,model1_42,comp2,2,Hydraulic,Hydraulic pressure fluctuation exceeded operational tolerance,Medium,1.81,pressure,0.96,1.75,0.64,Hydraulic valve degradation,Verify hydraulic pump condition,Open
313,model1_42,comp3,1,Thermal,Minor thermal deviation detected on motor unit,Low,0.93,vibration,0.45,0.34,0.97,Cooling system degradation,Check rotational stability,Open
314,model1_42,comp2,4,Hydraulic,Critical hydraulic pressure instability detected,Critical,4.77,pressure,0.76,2.98,1.08,Pressure leakage,Verify hydraulic pump condition,Open
315,model1_42,comp3,1,Thermal,Minor thermal deviation detected on motor unit,Low,0.68,vibration,0.19,0.02,0.62,Cooling system degradation,Inspect spindle bearing and lubrication system,Open
316,model1_42,comp2,1,Hydraulic,Slight hydraulic instability detected,Low,0.71,vibration,0.42,0.56,0.52,Pressure leakage,Inspect spindle bearing and lubrication system,Open
317,model1_42,comp3,1,Thermal,Minor thermal deviation detected on motor unit,Low,0.73,vibration,0.53,0.75,0.94,Cooling fan malfunction,Inspect spindle bearing and lubrication system,Open
318,model3_43,comp1,1,Mechanical,Slight rotational instability detected,Low,0.85,vibration,0.66,0.67,0.28,Bearing wear,Check rotational stability,Open
319,model3_43,comp4,2,Automation,Critical PLC instability trend identified,High,2.91,pressure,0.19,1.95,1.49,PLC communication instability,Check valve stability,Open
320,model3_43,comp2,2,Hydraulic,Hydraulic pressure anomaly detected,Medium,1.93,rotation,0.03,0.02,1.17,Hydraulic flow instability,Verify rotational sensor consistency,Open
321,model3_43,comp2,2,Hydraulic,Moderate hydraulic instability observed,Medium,1.83,rotation,0.08,0.52,1.5,Hydraulic flow instability,Inspect rotational control subsystem,Open
322,model3_43,comp1,2,Mechanical,Spindle oscillation exceeded operational baseline,Medium,1.82,vibration,1.51,0.07,0.33,Lubrication degradation,Inspect spindle bearing and lubrication system,Open
323,model3_43,comp1,1,Mechanical,Low-level spindle oscillation identified,Low,0.8,vibration,0.72,0.87,0.29,Bearing wear,Check rotational stability,Open
324,model3_43,comp2,2,Hydraulic,Hydraulic pressure fluctuation exceeded operational tolerance,Medium,1.85,vibration,1.02,0.92,0.24,Hydraulic valve degradation,Inspect spindle bearing and lubrication system,Open
325,model3_43,comp4,1,Automation,Minor automation instability detected,Low,0.84,vibration,0.02,0.58,0.41,PLC communication instability,Inspect spindle bearing and lubrication system,Open
326,model3_43,comp1,3,Mechanical,High spindle vibration level identified,High,3.27,pressure,0.84,2.31,0.54,Bearing wear,Verify hydraulic pump condition,Open
327,model3_43,comp2,1,Hydraulic,Slight hydraulic instability detected,Low,0.79,vibration,0.68,0.19,0.5,Hydraulic valve degradation,Verify shaft balancing and alignment,Open
328,model4_44,comp2,1,Hydraulic,Slight hydraulic instability detected,Low,0.65,vibration,0.58,0.89,0.68,Hydraulic valve degradation,Check rotational stability,Open
329,model4_44,comp1,2,Mechanical,Mechanical instability observed during operation,Medium,1.82,pressure,0.06,1.12,0.39,Bearing wear,Inspect hydraulic pressure lines,Open
330,model4_44,comp2,1,Hydraulic,Slight hydraulic instability detected,Low,0.88,vibration,0.04,0.5,0.95,Pressure leakage,Verify shaft balancing and alignment,Open
331,model4_44,comp1,1,Mechanical,Low-level spindle oscillation identified,Low,0.7,vibration,0.08,0.78,0.37,Bearing wear,Verify shaft balancing and alignment,Open
332,model3_45,comp1,3,Mechanical,Severe mechanical instability observed,Critical,4.16,pressure,1.0,2.52,0.58,Bearing wear,Verify hydraulic pump condition,Open
333,model3_45,comp2,1,Hydraulic,Slight hydraulic instability detected,Low,0.78,vibration,0.14,0.42,0.28,Hydraulic valve degradation,Check rotational stability,Open
334,model3_45,comp4,2,Automation,PLC communication instability observed,Medium,1.75,rotation,0.17,0.81,1.24,Electrical synchronization issue,Inspect rotational control subsystem,Open
335,model3_45,comp4,2,Automation,PLC communication instability observed,Medium,1.79,pressure,0.31,1.4,0.01,Control signal degradation,Verify hydraulic pump condition,Open
336,model3_45,comp4,2,Automation,Critical PLC instability trend identified,High,2.9,vibration,1.65,1.93,0.78,Control signal degradation,Check rotational stability,Open
337,model3_45,comp4,2,Automation,Automation system anomaly detected,Medium,1.79,rotation,0.5,0.71,1.03,Electrical synchronization issue,Inspect rotational control subsystem,Open
338,model3_45,comp1,2,Mechanical,Strong rotational imbalance observed,High,2.92,pressure,0.16,1.13,1.66,Mechanical imbalance,Verify hydraulic pump condition,Open
339,model4_46,comp2,1,Hydraulic,Slight hydraulic instability detected,Low,0.77,vibration,0.83,0.23,0.42,Hydraulic flow instability,Check rotational stability,Open
